site_id,date,time,ap_name,sn,mac,ip,ap_firmware,group,controller,ap_model,ap_boot,ssid,operatingmode_radio1,operatingmode_radio2,power_radio1,power_radio2,channel_radio1,channel_radio2,state_radio1,state_radio2,ap_uptime
CSBETH4,20220429,00:00:02,L-D15-IDFA-2-48,CNG6K7Y00M,80:8D:B7:CF:C2:9C,172.17.32.252,A1.0,7-CH-108-LEFT-DECK,172.17.34.93,318,8.3.0.5,Aruba501 Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,108,ch2,rstate1,rstate2,458 days 19:54:11.04
CSBETH4,20220429,00:00:02,L-D3-IDFA-3-24,CNG6K7Y00S,80:8D:B7:CF:C2:8A,172.17.32.253,,7-CH-108-LEFT-DECK,172.17.34.93,318,,,opmode1,opmode2,power,power2,,ch2,rstate1,rstate2,0:00:00.00  
CSBETH4,20220429,00:00:02,L-D5-IDFA-1-45,CNG6K7Y00B,80:8D:B7:CF:C2:C2,172.17.32.240,A1.0,9-CH-116-LEFT-DECK,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,116,ch2,rstate1,rstate2,458 days 19:54:22.04
CSBETH4,20220429,00:00:02,L-D7-IDFA-1-46,CNG6K7Y018,80:8D:B7:CF:C2:A8,172.17.32.241,A1.0,9-CH-116-LEFT-DECK,172.17.34.93,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,116,ch2,rstate1,rstate2,458 days 19:54:21.04
CSBETH4,20220429,00:00:02,L-D9-IDFA-1-47,CNG6K7Y01M,80:8D:B7:CF:C2:88,172.17.32.242,A1.0,7-CH-108-LEFT-DECK,172.17.34.93,318,8.3.0.5,Aruba501 Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,108,ch2,rstate1,rstate2,458 days 20:25:12.04
CSBETH4,20220429,00:00:02,OB1-L-Z4-IDFB-5-47,CNG6K7Y05V,80:8D:B7:CF:C3:80,172.17.32.237,A1.0,12-CH-140-OB1-LEFT,172.17.34.93,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,140,ch2,rstate1,rstate2,483 days 7:14:40.00
CSBETH4,20220429,00:00:02,OB1-R-Z2-IDFA-2-46,CNG6K7Y059,80:8D:B7:CF:C3:BE,172.17.32.251,A1.0,12-CH-140-OB1-LEFT,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,161,ch2,rstate1,rstate2,483 days 7:14:42.00
CSBETH4,20220429,00:00:02,OB1-R-Z4-IDFB-5-46,CNG6K7Y05X,80:8D:B7:CF:C3:C4,172.17.32.236,A1.0,12-CH-140-OB1-LEFT,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,149,ch2,rstate1,rstate2,483 days 7:14:41.00
CSBETH4,20220429,00:00:02,R-D11-IDFB-5-45,CNG6K7Y01B,80:8D:B7:CF:C2:7E,172.17.32.239,A1.0,8-CH-112-RIGHT-DECK,172.17.34.93,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,112,ch2,rstate1,rstate2,13 days 7:19:03.04
CSBETH4,20220429,00:00:02,R-D13-IDFB-6-45,CNG6K7Y01F,80:8D:B7:CF:C2:72,172.17.32.248,,10-CH-132-RIGHT-DECK,172.17.34.93,318,,,opmode1,opmode2,power,power2,,ch2,rstate1,rstate2,0:00:00.00  
CSBETH4,20220429,00:00:02,R-D1-IDFB-5-48,CNG6K7Y05K,80:8D:B7:CF:C3:C6,172.17.32.238,A1.0,8-CH-112-RIGHT-DECK,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,112,ch2,rstate1,rstate2,13 days 7:19:04.04
CSBETH4,20220429,00:00:02,R-D3-IDFB-4-45,CNG6K7Y01G,80:8D:B7:CF:C2:96,172.17.32.244,A1.0,10-CH-132-RIGHT-DECK,172.17.34.93,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,132,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,R-D5-IDFB-4-46,CNG6K7Y01L,80:8D:B7:CF:C2:8E,172.17.32.245,A1.0,8-CH-112-RIGHT-DECK,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,112,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,R-D7-IDFB-4-47,CNG6K7Y016,80:8D:B7:CF:C2:9E,172.17.32.246,A1.0,10-CH-132-RIGHT-DECK,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,132,ch2,rstate1,rstate2,458 days 19:54:12.04
CSBETH4,20220429,00:00:02,R-D9-IDFB-4-48,CNG6K7Y01K,80:8D:B7:CF:C2:CC,172.17.32.247,A1.0,8-CH-112-RIGHT-DECK,172.17.34.92,318,8.3.0.5,Symbotic SymMaint9 Iditarod9 ,opmode1,opmode2,power,power2,112,ch2,rstate1,rstate2,483 days 7:25:08.00
