,InterestingEventTime,EventDescription,currentThreadID,BotNumber
117,2022-04-29 17:16:49.948800, Event : Action Status : Recover 1000009 : Status Completed,43,3466
118,2022-04-29 17:16:50.108800, Initialize : Cmd 1000007 : Response,43,3466
119,2022-04-29 17:16:50.308800, Event : Action Status : AddWayPoint 1000010 : Status Started,43,3466
120,2022-04-29 17:16:51.415900, Initialize : Cmd 1000008 : Response,43,3466
121,2022-04-29 17:16:51.755900, Dynamic Status,43,3466
122,2022-04-29 17:16:52.406000, Initialize : Cmd 1000009 : Response,43,3466
123,2022-04-29 17:16:52.884000, Dynamic Status,43,3466
124,2022-04-29 17:16:53.088100, Event : Action Status : AddWayPoint 1000010 : Status Completed,43,3466
125,2022-04-29 17:16:53.089100, Event : Action Status : AddWayPoint 1000011 : Status Started,43,3466
126,2022-04-29 17:16:54.899200, Dynamic Status,43,3466
127,2022-04-29 17:16:55.198300, Dynamic Status,43,3466
128,2022-04-29 17:16:55.399300, Event : Action Status : AddWayPoint 1000011 : Status Completed,43,3466
129,2022-04-29 17:16:55.400300, Event : Action Status : AddWayPoint 1000012 : Status Started,43,3466
130,2022-04-29 17:16:57.211500, Dynamic Status,43,3466
131,2022-04-29 17:16:57.753500, Dynamic Status,43,3466
132,2022-04-29 17:16:57.966600, Event : Action Status : AddWayPoint 1000012 : Status Completed,43,3466
133,2022-04-29 17:16:57.967600, Event : Action Status : AddWayPoint 1000013 : Status Started,43,3466
134,2022-04-29 17:16:59.248700, Dynamic Status,43,3466
135,2022-04-29 17:17:00.754800, Dynamic Status,43,3466
136,2022-04-29 17:17:02.265000, Dynamic Status,43,3466
137,2022-04-29 17:17:03.784100, Dynamic Status,43,3466
138,2022-04-29 17:17:05.288300, Dynamic Status,43,3466
139,2022-04-29 17:17:05.950400, Dynamic Status,43,3466
140,2022-04-29 17:17:06.151400, Event : Action Status : AddWayPoint 1000013 : Status Completed,43,3466
141,2022-04-29 17:17:06.152400, Event : Action Status : AddWayPoint 1000014 : Status Started,43,3466
142,2022-04-29 17:17:07.334500, Dynamic Status,43,3466
143,2022-04-29 17:17:07.537500, Event : Action Status : AddWayPoint 1000014 : Status Completed,43,3466
144,2022-04-29 17:17:07.538500, Event : Action Status : AddWayPoint 1000015 : Status Started,43,3466
145,2022-04-29 17:17:09.339700, Dynamic Status,43,3466
146,2022-04-29 17:17:09.574700, Dynamic Status,43,3466
147,2022-04-29 17:17:09.784700, Event : Action Status : AddWayPoint 1000015 : Status Completed,43,3466
148,2022-04-29 17:17:09.785700, Event : Action Status : AddWayPoint 1000016 : Status Started,43,3466
149,2022-04-29 17:17:11.573900, Dynamic Status,43,3466
150,2022-04-29 17:17:13.083100, Dynamic Status,43,3466
151,2022-04-29 17:17:14.592200, Dynamic Status,43,3466
152,2022-04-29 17:17:14.786200, Dynamic Status,43,3466
153,2022-04-29 17:17:14.787200, Event : Action Status : AddWayPoint 1000016 : Status Completed,43,3466
154,2022-04-29 17:17:14.787200, Event : Action Status : Rest 1000017 : Status Started,43,3466
155,2022-04-29 17:17:14.787200, Event : Alert ActionId:0 Text:,43,3466
156,2022-04-29 17:17:14.787200, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
157,2022-04-29 17:17:16.705400, Dynamic Status,43,3466
158,2022-04-29 17:17:17.812500, Event : Alert ActionId:0 Text:Level:2|Xposition_mm:15970|Yposition_mm:-3494|Force_N:39,43,3466
159,2022-04-29 17:17:18.709600, Dynamic Status,43,3466
160,2022-04-29 17:17:20.711800, Event : Action Status : Rest 1000017 : Status Completed,43,3466
161,2022-04-29 17:17:20.913800, Dynamic Status,43,3466
162,2022-04-29 17:17:20.914800, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
163,2022-04-29 17:17:21.737900, Initialize : Cmd 1000010 : Response,43,3466
164,2022-04-29 17:17:21.940000, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
165,2022-04-29 17:17:21.940000, Event : Payload Status,43,3466
166,2022-04-29 17:17:21.940000, Event : Action Status : Pick 1000018 : Status Started,43,3466
167,2022-04-29 17:17:22.730000, Dynamic Status,43,3466
168,2022-04-29 17:17:24.736200, Dynamic Status,43,3466
169,2022-04-29 17:17:26.755400, Dynamic Status,43,3466
170,2022-04-29 17:17:28.763600, Dynamic Status,43,3466
171,2022-04-29 17:17:30.780800, Dynamic Status,43,3466
172,2022-04-29 17:17:32.791000, Dynamic Status,43,3466
173,2022-04-29 17:17:34.801200, Dynamic Status,43,3466
174,2022-04-29 17:17:36.308400, Event : Payload Status,43,3466
175,2022-04-29 17:17:36.511400, Event : Action Status : Pick 1000018 : Status Drivable,43,3466
176,2022-04-29 17:17:36.512400, Event : Action Status : Pick 1000018 : Status CaseMoved,43,3466
177,2022-04-29 17:17:36.512400, Event : Action Status : Pick 1000018 : Status Completed,43,3466
178,2022-04-29 17:17:36.512400, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
179,2022-04-29 17:17:36.803400, Dynamic Status,43,3466
180,2022-04-29 17:17:36.964500, Initialize : Cmd 1000011 : Response,43,3466
181,2022-04-29 17:17:37.174500, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
182,2022-04-29 17:17:37.174500, Event : Action Status : AddWayPoint 1000019 : Status Started,43,3466
183,2022-04-29 17:17:37.976600, Initialize : Cmd 1000012 : Response,43,3466
184,2022-04-29 17:17:38.802600, Dynamic Status,43,3466
185,2022-04-29 17:17:38.988700, Initialize : Cmd 1000013 : Response,43,3466
186,2022-04-29 17:17:39.212700, Event : Payload Status,43,3466
187,2022-04-29 17:17:40.295800, Dynamic Status,43,3466
188,2022-04-29 17:17:42.308000, Dynamic Status,43,3466
